PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Warren,95,8,0.52,0.71,0.8,3.4,1.3,1.5,0.3,1.3,18,7.9,15.3,1.5,2.1,0.468000649,-0.373295643,-0.672427621,-0.751987648,-0.759241501,1.01318609,-0.564346243,0.54503095,0.642578744
Lauri Markkanen,96,9,0.4,0.77,1.9,7.6,2.2,0.9,0.6,1.9,15.1,4.9,12.4,3.4,4.4,-0.946610884,-0.011458186,0.486930346,0.762444441,-0.336527396,-0.132735972,-0.106149023,-0.027681082,0.156855205
Davis Bertans,97,7,0.48,0.85,3.4,2.9,1.3,0.6,0.3,0.7,13.1,4.3,8.9,1.1,1.3,-0.003536529,0.470991757,2.06787303,-0.932277183,-0.759241501,-0.705697003,-0.564346243,1.117742982,-0.178126546
Isaiah Thomas,98,5,0.41,1,2.2,2.2,6.4,0.4,0.4,2.6,13.6,5,12.2,1.4,1.4,-0.828726589,1.3755854,0.803118883,-1.184682531,1.636138427,-1.087671024,-0.411613836,-0.695845119,-0.094381108
Draymond Green,99,5,0.43,0.7,0.8,7.8,5.2,1.4,0,1.4,9.4,3.6,8.4,1.4,2,-0.592958001,-0.433601886,-0.672427621,0.834560255,1.072519621,0.82219908,-1.022543463,0.449578945,-0.797842786
Elfrid Payton,100,4,0.38,0.87,1.3,3,3.8,2.5,0,1.8,8,2.8,7.3,1.3,1.5,-1.182379473,0.591604243,-0.145446727,-0.896219276,0.414964346,2.923056194,-1.022543463,0.067770924,-1.032330011
Lou Williams,101,8,0.4,0.83,1.8,3.8,5.5,0.4,0,3,22,7,17.5,6.3,7.6,-0.946610884,0.350379271,0.381534168,-0.607756021,1.213424322,-1.087671024,-1.022543463,-1.07765314,1.312542246
Troy Brown,102,4,0.51,1,0.8,5,1.5,1.5,0.3,0.8,9.8,3.8,7.5,1.5,1.5,0.350116354,1.3755854,-0.672427621,-0.175061138,-0.665305033,1.01318609,-0.564346243,1.022290977,-0.730846435
Rodney Hood,103,7,0.49,0.81,2,4.1,0.6,1,0.6,1.1,12.9,4.6,9.4,1.7,2.1,0.114347766,0.229766785,0.592326525,-0.4995823,-1.088019138,0.058251038,-0.106149023,0.735934961,-0.211624721
Tomas Satoransky,104,9,0.47,0.93,1.2,2.8,5.7,1.1,0.2,1.9,8.8,3.1,6.6,1.3,1.4,-0.121420823,0.9534417,-0.250842906,-0.96833509,1.30736079,0.249238049,-0.717078649,-0.027681082,-0.898337311
PLAYER,,,,,,,,,,,,,,,,,,,,,,,,
Nemanja Bjelica,105,8,0.52,1,1.8,5,2.1,1,0.4,1,8.8,3.4,6.6,0.3,0.3,0.468000649,1.3755854,0.381534168,-0.175061138,-0.38349563,0.058251038,-0.411613836,0.831386966,-0.898337311
CJ McCollum,106,7,0.4,0.91,2,3.1,3.6,0.7,0.3,2.7,20.7,7.9,19.6,3,3.3,-0.946610884,0.832829214,0.592326525,-0.860161369,0.321027879,-0.514709993,-0.564346243,-0.791297124,1.094804108
George Hill,107,8,0.59,0.67,1.9,2.9,2.9,0.9,0.1,0.4,11.4,4.3,7.3,1,1.5,1.293190709,-0.614520615,0.486930346,-0.932277183,-0.007749759,-0.132735972,-0.869811056,1.404098998,-0.462861035
Cody Zeller,108,6,0.5,0.73,0.7,10.5,1.5,0.5,0.5,1.5,12.8,5,10,2.2,3,0.23223206,-0.252683158,-0.7778238,1.808123742,-0.665305033,-0.896684014,-0.258881429,0.35412694,-0.228373809
Moritz Wagner,109,7,0.59,0.9,1,4.9,0.3,0.7,1,2.6,11.1,4.1,7,1.9,2.1,1.293190709,0.772522971,-0.461635264,-0.211119045,-1.228923839,-0.514709993,0.504780604,-0.695845119,-0.513108297
